StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,label_EventName,label_EventId
0,Recording_83,Process_29,2022-02-14T09:28:21+00:00,Press button in window,Button 'Microsoft Teams - loading' in Pane 'New Tab - Google Chrome - Name RKH',Go to messaging tool,Event_403
1,Recording_83,Process_29,2022-02-14T09:28:30+00:00,Resize window,Pane 'New Tab - Google Chrome - Name RKH',Go to messaging tool,Event_403
2,Recording_83,Process_29,2022-02-14T09:28:30+00:00,Move window,Pane 'New Tab - Google Chrome - Name RKH',Go to messaging tool,Event_403
3,Recording_83,Process_29,2022-02-14T09:28:37+00:00,Click UI element in window,Hyperlink 'Available  ...  More options' in Pane 'New Tab - Google Chrome - Name RKH',Inform Site Manager at New York for next week's tour ,Event_404
4,Recording_83,Process_29,2022-02-14T09:29:53+00:00,Populate text field in window,"Edit in Pane 'New Tab - Google Chrome - Name RKH'; Text:'Hi. Mrs. Surname, I want to visit New york site in next weel probably on 22 feb. Are you available?'",Inform Site Manager at New York for next week's tour ,Event_404
5,Recording_83,Process_29,2022-02-14T09:29:56+00:00,Send keys,TextToSend:'{Return}',Inform Site Manager at New York for next week's tour ,Event_404
6,Recording_83,Process_29,2022-02-14T09:30:10+00:00,Press button in window,Email@Domain  ...  - 1 running window in Quick Launch Bar,Inform Site Manager at New York for next week's tour ,Event_404
7,Recording_83,Process_29,2022-02-14T09:30:13+00:00,Press button in window,Button 'New Tab' in Pane 'New Tab - Google Chrome - Name RKH',Verify New york's weather for the date of visit,Event_405
8,Recording_83,Process_29,2022-02-14T09:30:20+00:00,Populate text field in window,Edit 'Address and search bar' in Pane 'New Tab - Google Chrome - Name RKH'; Text:'accuweather',Verify New york's weather for the date of visit,Event_405
9,Recording_83,Process_29,2022-02-14T09:30:23+00:00,Send keys,TextToSend:'{Return}',Verify New york's weather for the date of visit,Event_405
10,Recording_83,Process_29,2022-02-14T09:30:27+00:00,Click UI element in window,Hyperlink '  ...  › San Jose' in Pane 'New Tab - Google Chrome - Name RKH',Verify New york's weather for the date of visit,Event_405
11,Recording_83,Process_29,2022-02-14T09:30:37+00:00,Populate text field in window,Edit 'Search' in Pane 'New Tab - Google Chrome - Name RKH'; Text:'New york',Verify New york's weather for the date of visit,Event_405
12,Recording_83,Process_29,2022-02-14T09:30:44+00:00,Click UI element in window,"Text 'New York, NY, US' in Pane 'New Tab - Google Chrome - Name RKH'",Verify New york's weather for the date of visit,Event_405
13,Recording_83,Process_29,2022-02-14T09:30:49+00:00,Click UI element in window,Hyperlink 'MONTHLY' in Pane 'New Tab - Google Chrome - Name RKH',Verify New york's weather for the date of visit,Event_405
14,Recording_83,Process_29,2022-02-14T09:31:01+00:00,Click UI element in window,Hyperlink '22 Mostly cloudy 11° 7°' in Pane 'New Tab - Google Chrome - Name RKH',Verify New york's weather for the date of visit,Event_405
0,Recording_84,Process_29,2022-02-14T09:54:42+00:00,Press button in window,Skype - 1 running window in Quick Launch Bar,Login to communication tool,Event_406
1,Recording_84,Process_29,2022-02-14T09:54:44+00:00,Press button in window,"Button 'NameKUMAR Surname, Active now, chat, ok np, 3:13 PM, No new messages, selected' in Pane 'Skype'",Message to Site Manager at New york regarding GM's trip to NY in coming week,Event_407
2,Recording_84,Process_29,2022-02-14T09:54:53+00:00,Populate text field in window,"Edit 'Type a message' in Pane 'Skype'; Text:'Hello, MR. Surname, I am planning to visit our NY site next week most probably on 23rd.  Please make some site visit arrangement.'",Message to Site Manager at New york regarding GM's trip to NY in coming week,Event_407
3,Recording_84,Process_29,2022-02-14T09:54:53+00:00,Populate text field in window,"Edit 'Type a message' in Pane 'Skype'; Text:'Hello, MR. Surname, I am planning to visit our NY site next week most probably on 23rd.  Please make some site visit arrangement.'",Message to Site Manager at New york regarding GM's trip to NY in coming week,Event_407
4,Recording_84,Process_29,2022-02-14T09:55:09+00:00,Populate text field in window,"Edit 'Type a message' in Pane 'Skype'; Text:'Hello, MR. Surname, I am planning to visit our NY site next week most probably on 23rd.  Please make some site visit arrangement.'",Message to Site Manager at New york regarding GM's trip to NY in coming week,Event_407
5,Recording_84,Process_29,2022-02-14T09:55:10+00:00,Populate text field in window,"Edit 'Type a message' in Pane 'Skype'; Text:'Hello, MR. Surname, I am planning to visit our NY site next week most probably on 23rd.  Please make some site visit arrangement.'",Message to Site Manager at New york regarding GM's trip to NY in coming week,Event_407
6,Recording_84,Process_29,2022-02-14T09:55:23+00:00,Populate text field in window,"Edit 'Type a message' in Pane 'Skype'; Text:'Hello, MR. Surname, I am planning to visit our NY site next week most probably on 23rd.  Please make some site visit arrangement.'",Message to Site Manager at New york regarding GM's trip to NY in coming week,Event_407
7,Recording_84,Process_29,2022-02-14T09:55:24+00:00,Send keys,TextToSend:'{Return}',Message to Site Manager at New york regarding GM's trip to NY in coming week,Event_407
8,Recording_84,Process_29,2022-02-14T09:55:46+00:00,Press button in window,Google Chrome - 1 running window in Quick Launch Bar,Message to Site Manager at New york regarding GM's trip to NY in coming week,Event_407
9,Recording_84,Process_29,2022-02-14T09:55:52+00:00,Click UI element in window,Document 'Skype' in Pane 'Skype',Message to Site Manager at New york regarding GM's trip to NY in coming week,Event_407
10,Recording_84,Process_29,2022-02-14T09:55:52+00:00,Click UI element in window,Pane 'Skype',Message to Site Manager at New york regarding GM's trip to NY in coming week,Event_407
11,Recording_84,Process_29,2022-02-14T09:55:57+00:00,Press button in window,Google Chrome - 1 running window in Quick Launch Bar,Go to weather app and verify the weather condition for the desired date,Event_408
12,Recording_84,Process_29,2022-02-14T09:56:03+00:00,Press button in window,Google Chrome - 1 running window in Quick Launch Bar,Go to weather app and verify the weather condition for the desired date,Event_408
13,Recording_84,Process_29,2022-02-14T09:56:05+00:00,Press button in window,Button 'New Tab' in Pane 'Process  ...  Chrome - Name',Go to weather app and verify the weather condition for the desired date,Event_408
14,Recording_84,Process_29,2022-02-14T09:56:08+00:00,Populate text field in window,Edit 'Address and search bar' in Pane 'Process  ...  Chrome - Name'; Text:'weather.com',Go to weather app and verify the weather condition for the desired date,Event_408
15,Recording_84,Process_29,2022-02-14T09:56:09+00:00,Send keys,TextToSend:'{Return}',Go to weather app and verify the weather condition for the desired date,Event_408
