StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,label_EventName,label_EventId
0,Recording_50,Process_22,2022-03-02T10:34:43+00:00,Select menu option in window,Google Chrome - 2 running windows in Quick Launch Bar, Open the approval request tool ,Event_242
1,Recording_50,Process_22,2022-03-02T10:34:45+00:00,Click UI element in window,List Item 'New Tab - Google Chrome' in List 'Task Switcher', Open the approval request tool ,Event_242
2,Recording_50,Process_22,2022-03-02T10:34:49+00:00,Press button in window,Button 'Home Page - Zoho CRM' in Pane 'New Tab - Google Chrome - Person 1', Open the approval request tool ,Event_242
3,Recording_50,Process_22,2022-03-02T10:34:54+00:00,Click UI element in window,Image in Pane 'New Tab - Google Chrome - Person 1', Open the approval request tool ,Event_242
4,Recording_50,Process_22,2022-03-02T10:35:00+00:00,Click UI element in window,Hyperlink 'Approval Processes' in Pane 'New Tab - Google Chrome - Person 1', Open the approval request tool ,Event_242
5,Recording_50,Process_22,2022-03-02T10:35:05+00:00,Click UI element in window,Image 2 in Pane 'New Tab - Google Chrome - Person 1',Verify the approval request,Event_243
6,Recording_50,Process_22,2022-03-02T10:35:08+00:00,Click UI element in window,Hyperlink 'Social' in Pane 'New Tab - Google Chrome - Person 1',Verify the approval request,Event_243
7,Recording_50,Process_22,2022-03-02T10:35:13+00:00,Click UI element in window,Text 'Approval Process' in Pane 'New Tab - Google Chrome - Person 1',Verify the approval request,Event_243
8,Recording_50,Process_22,2022-03-02T10:35:16+00:00,Click UI element in window,Hyperlink 'Approval History' in Pane 'New Tab - Google Chrome - Person 1',Verify the approval request,Event_243
9,Recording_50,Process_22,2022-03-02T10:35:23+00:00,Click UI element in window,Data Item 'Name  ...  Schedule a flow.' in Pane 'New Tab - Google Chrome - Person 1',Verify the approval request,Event_243
10,Recording_50,Process_22,2022-03-02T10:35:24+00:00,Click UI element in window,Hyperlink 'Schedule a flow' in Pane 'New Tab - Google Chrome - Person 1',Verify the approval request,Event_243
11,Recording_50,Process_22,2022-03-02T10:35:35+00:00,Click UI element in window,Text 'Comme ...  file from onedrive' in Pane 'New Tab - Google Chrome - Person 1',Verify the approval request,Event_243
12,Recording_50,Process_22,2022-03-02T10:35:40+00:00,Press button in window,Button 'New Tab' in Pane 'New Tab - Google Chrome - Person 1',Go to cloud storage,Event_244
